tx_hash,tx_from,tx_to,protocol,protocol_version,src_token_symbol,dst_token_symbol,src_token_amount,dst_token_amount,src_token_decimals,dst_token_decimals,amount_usd,tokens,transfers
0x0242ca38600f08070d9b84933a93f03fdc9a196b2296d0843d90b6f49e1266f0,0xaa421a4b32011db131bdb206f3fa89290a1e3d47,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,PANDORA,ETH,16000000000000000000,71227058227050444741,18,18,207978.7363994937,3,9
0x03d34cb7eac40073ed9c45cc5114c26bced446b2b056ae6cc922e52db5da5fff,0x4339889fd9dfca20a423fba011e9dff1c856caeb,0x9008d19f58aabd9ed0d60971565aa8510560ab41,AR,5,KOI,WETH,22378792675343740346361895,59834964824328983013,18,18,207894.79023318633,2,2
0x411fc0756e310f8ba755cd3c9eb222921c6d7e72e77fa8f2fdeb944e177eb004,0x3c0562df69e95ccd4f850fa7426262b68b208f22,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,ETH,stETH,79000000000000000000,79004940820978925323,18,18,207887.28088105828,2,6
0x4a8ca0bec73b5033b5a2c38950c64c6f510441e7c0ca89d3004164d02303d073,0x3fbac8506b8d74f082d29134c0cd41b61c54737d,0x252025df8680c275d0ba80d084e5967d8bd26caf,AR,5,USDT,wstETH,207659991327,59421690168368697506,6,18,207804.7303409549,4,10
0x13e9fdb415fd7d923d4a04c60696c63fc0e7af96bc259dfa443af80fb038abd4,0x45ebb1c54f223c5905a7683164656b63527bc11b,0x1111111254eeb25477b68fb85ed929f73a960582,LOP,3,DAI,WBTC,207278925992670941576844,400000000,18,8,207658.03914831154,2,2
0xd5246b8024ede58ace677889de9c1be2ef607ca05312c4dc5a943a52c6a116bd,0xafe69384f5febd6cf791df9e9cb2a72647dc97d6,0x8571c129f335832f6bbc76d49414ad2b8371a422,LOP,3,WBTC,DAI,429436166,207608075446622644403338,8,18,207651.67314246646,2,4
0x13e9fdb415fd7d923d4a04c60696c63fc0e7af96bc259dfa443af80fb038abd4,0x45ebb1c54f223c5905a7683164656b63527bc11b,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,WBTC,USDC,400000000,207263688739,8,6,207442.55730238179,3,7
0x90738b4af35abba4595ed46d47c51b5ac9c7dd17c5edd63c45cc91093bde9f98,0xc7c7ec253bd408fd0f3a68e32dee75e29788985a,0x3c11f6265ddec22f4d049dde480615735f451646,AR,5,USDC,WETH,208599260990,70943487989986770592,6,18,207389.80787600824,3,4
0x33e69478cd939e569d65d8205ff2944f4802235135f043be0421e2fe60171e4f,0x1d80acdcae2257329557ae12c1d1fc21361def30,0xad3b67bca8935cb510c8d18bd45f0b94f54a968f,LOP,3,USDT,WETH,207182038329,63952818884516000917,6,18,207386.11263675406,2,2
0xd12bfed9f4c85f47fddbe3b6e3b207a7d69d9c8b0c803b2b2acee148b019e5bb,0x55dcad916750c19c4ec69d65ff0317767b36ce90,0xad3b67bca8935cb510c8d18bd45f0b94f54a968f,LOP,3,WETH,USDT,68364985085572020980,206720087716,18,6,207378.34575857417,2,2
0x8164cb4f24cc7b2e34e22e3b8b680c4fb10a5f48a9fa114e74f669f2222e9264,0x3f910a235d74bbf60d4aff553340de3481842038,0x663dc15d3c1ac63ff12e45ab68fea3f0a883c251,AR,5,USDC,WETH,207039479321,207039479321,6,18,207105.93899386204,3,4
